"SG2","SG1","STRESS","","","STRES, Mpa","C1","C2"
"4824","5240","97.65625","","","32.756451676065","2229.2712499999","2356.7887500001"
"4890","5309","98.958333333333","","","33.217810150376","2416.8762499999","2470.865"
"4953","5379","100.26041666667","","","33.679168624687","2411.50625","2193.1262499999"
"5020","5452","101.34548611111","","","34.140527098998","2448.7787499999","2091.1825000001"
"5083","5521","102.64756944444","","","34.601885573308","2675.2824999999","2018.575"
"5149","5593","103.73263888889","","","35.063244047619","2745.62875","1785.08875"
"5212","5662","105.03472222222","","","35.52460252193","2842.3950000001","2657.595"
"5278","5734","106.33680555556","","","35.985960996241","3020.52125","2117.99375"
"5343","5805","107.421875","","","36.447319470551","2716.96875","2497.5925"
"5407","5874","108.50694444444","","","36.908677944862","2428.3724999999","2593.085"
"5468","5940","109.80902777778","","","37.370036419173","2663.275","2738.5024999999"
"5536","6015","110.89409722222","","","37.831394893484","2310.635","3138.09125"
"5601","6083","111.97916666667","","","38.292753367794","2468.12125","2885.91625"
"5662","6149","113.28125","","","38.754111842105","2490.80875","3004.5874999999"
"5725","6218","114.36631944444","","","39.215470316416","2433.92625","2494.0549999999"
"5782","6285","115.45138888889","","","39.676828790727","2469.5874999999","2766.3012499999"
"5841","6349","116.75347222222","","","40.138187265038","2573.06625","2523.165"
"5909","6420","117.83854166667","","","40.599545739348","2711.7274999999","2666.80125"
"5970","6485","119.140625","","","41.060904213659","2761.71875","2762.54625"
"6035","6554","120.22569444444","","","41.52226268797","2805.35875","2653.7862500001"
"6099","6624","121.52777777778","","","41.983621162281","2528.68375","2748.38875"
"6162","6691","122.61284722222","","","42.444979636591","2757.49125","3004.36375"
"6226","6757","123.69791666667","","","42.906338110902","2645.0637499999","2939.195"
"6288","6824","125","","","43.367696585213","2521.3587499999","2619.7024999999"
"6358","6895","126.08506944444","","","43.829055059524","2613.77125","2954.8625"
"6418","6957","127.17013888889","","","44.290413533835","2893.2162499999","3125.0525000001"
"6485","7029","128.47222222222","","","44.751772008145","2853.49375","3005.2862499999"
"6550","7094","129.55729166667","","","45.213130482456","2558.4074999999","3060.095"
"6612","7158","130.64236111111","","","45.674488956767","2311.0075","3650.45625"
"6687","7231","131.94444444444","","","46.135847431078","2903.85625","2913.2475"
"6745","7291","133.02951388889","","","46.597205905388","3095.42875","2984.4575"
"6816","7361","134.11458333333","","","47.058564379699","2895.97","3154.23"
"6884","7428","135.41666666667","","","47.51992285401","2507.3375","3147.1149999999"
"6947","7488","136.50173611111","","","47.981281328321","2612.0762499999","3046.8175"
"7013","7554","137.58680555556","","","48.442639802632","2539.5037499999","2828.6074999999"
"7077","7620","138.88888888889","","","48.903998276942","2774.7925","3077.78375"
"7142","7683","139.97395833333","","","49.365356751253","2755.545","3246.50125"
"7208","7752","141.05902777778","","","49.826715225564","2773.18375","2855.6175"
"7273","7819","142.14409722222","","","50.288073699875","2870.91625","2993.47375"
"7339","7884","143.22916666667","","","50.749432174186","2771.68625","3350.10875"
"7406","7954","144.31423611111","","","51.210790648496","2868.91875","2879.4975000001"
"7470","8019","145.39930555556","","","51.672149122807","2726.5912499999","3049.5424999999"
"7535","8086","146.484375","","","52.133507597118","2962.59625","3209.6199999999"
"7600","8152","147.78645833333","","","52.594866071429","2614.12625","3234.7262499999"
"7665","8217","148.87152777778","","","53.056224545739","2792.9212500001","3004.3075"
"7726","8279","149.73958333333","","","53.51758302005","2959.6212499999","3234.4625"
"7789","8342","150.82465277778","","","53.978941494361","2853.0012499999","3544.33375"
"7850","8404","151.90972222222","","","54.440299968672","3134.0637499999","3439.1375"
"7915","8472","152.99479166667","","","54.901658442982","2610.2512499999","3461.715"
"7980","8536","154.07986111111","","","55.363016917293","2686.185","3286.4687499999"
"8040","8598","155.16493055556","","","55.824375391604","2934.7137499999","3438.3475"
"8107","8663","156.25","","","56.285733865915","2925.49375","3702.2637499999"
"8170","8726","157.11805555556","","","56.747092340225","2959.47125","3683.025"
"8231","8790","158.203125","","","57.208450814536","2595.81875","3059.5499999999"
"8294","8852","159.28819444444","","","57.669809288847","2409.6649999999","3853.8175"
"8357","8914","160.37326388889","","","58.131167763158","2392.3637499999","3365.1749999999"
"8421","8976","161.24131944444","","","58.592526237469","2690.43375","3556.5625"
"8479","9034","162.32638888889","","","59.053884711779","2722.90125","3236.52375"
"8541","9094","163.19444444444","","","59.51524318609","2599.7737499999","3538.605"
"8601","9154","164.27951388889","","","59.976601660401","2952.36125","3699.82875"
"8661","9211","165.14756944444","","","60.437960134712","2768.6324999999","3848.9225"
"8725","9272","166.23263888889","","","60.899318609023","2814.4637499999","3500.8525"
"8782","9323","167.10069444444","","","61.360677083333","3068.0962499999","3572.0675"
"8842","9379","167.96875","","","61.822035557644","2719.6174999999","3699.1200000001"
"8904","9437","169.05381944444","","","62.283394031955","2636.3487499999","3475.1750000001"
"8963","9495","169.921875","","","62.744752506266","2437.7812499999","3539.5387499999"
"9022","9546","170.78993055556","","","63.206110980576","2632.4899999999","4160.1962499999"
"9077","9595","171.65798611111","","","63.667469454887","2611.495","3829.51125"
"9140","9648","172.74305555556","","","64.128827929198","2341.2699999999","3467.4374999999"
"9197","9701","173.61111111111","","","64.590186403509","2638.07625","3508.31875"
"9252","9747","174.47916666667","","","65.051544877819","2687.2975","3316.92"
"9311","9804","175.56423611111","","","65.51290335213","2488.51625","3613.8837499999"
"9357","9854","176.43229166667","","","65.974261826441","2430.14875","3260.04125"
"9413","9907","177.30034722222","","","66.435620300752","2043.82125","3659.3575"
"9468","9959","178.16840277778","","","66.896978775063","2519.4887499998","3923.2312499999"
"9523","10011","179.25347222222","","","67.358337249373","2336.06875","3350.3137499999"
"9581","10067","180.12152777778","","","67.819695723684","2299.6487499999","3416.5025"
"9637","10118","180.98958333333","","","68.281054197995","2508.0762499999","3489.11"
"9692","10170","182.07465277778","","","68.742412672306","2540.75","3762.21"
"9747","10220","182.94270833333","","","69.203771146617","2214.3337499999","3462.1762499999"
"9801","10269","184.02777777778","","","69.665129620927","2371.8899999999","3180.4675"
"9862","10323","184.89583333333","","","70.126488095238","2418.3787499999","3267.92875"
"9915","10375","185.76388888889","","","70.587846569549","2183.1075","3221.25625"
"9973","10427","186.84895833333","","","71.04920504386","1901.955","3416.04625"
"10030","10479","187.71701388889","","","71.51056351817","1642.705","3396.6887499999"
